"id","name","position","salary","image","parentId"
20414,"José Angel Aparicio Hormigo","Delegación educación",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/JaimaEspinar.jpg",1000
20614,"Carmen Pina Lorente","Delegación participación ciudadana",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/CarmenPina.jpg",1000
20714,"Yesika Quintero Palma","Delegación inclusión social",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/YessicaQuintero.jpg",1000
20914,"Francisco Zurita Martín","Delegación fiestas y cultura",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoZurita.jpg",1000
21114,"Francisco Delgado Aguilera","Delegación economía  hacienda y patrimonio",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/FranciscoDelgado.jpg",1000
21214,"Nela García Jarillo","Delegación emple, trabajo autónomo  comercio y empresa",52517,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/NelaGarcia.jpg",1000
21215,"Almudena Marina Martínez del Junco","Presidenta Dipuitación de Cádiz",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PP/AlmudenaMartinez.jpg",1000
2001,"José Antonio Díaz Hernández","Portavoz grupo",43782,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/JANTONIO.svg",2000
2002,"Laura Álvarez Cabrera","VivePortavoz grupo",36000,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/LAURA.svg",2000
2010,"Mamen Sánchez Díaz","Concejala",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/MCSANCHEZ.svg",2000
2003,"Jesús Alba Guerra","Concejal",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/JESUSALBA.svg",2000
2004,"Mª del Carmen Collado Jiménez","Concejala",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/COLLADO.svg",2000
2006,"Ana Herica Ramos Campos","Concejala",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2019-2023/PSOE/ANAHERICA.svg",2000
2007,"Dionisio Díaz Fernández","Concejal",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PSOE/DionisioDiaz.jpg",2000
2008,"Almudena Navarro Romero","Concejala",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PSOE/Almudena_Navarro.jpg",2000
2009,"Susana Romero Lobato","Concejala",0,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/PSOE/Susana_Romero_Lobato.png",2000
3001,"Raul Ruiz-Berdejo","Portavoz grupo",43782,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/LACONFLUENCIA/RaulRuizBerdejo.jpg",3000
3002,"Ángeles González Eslava","VicePortavoz grupo",36000,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/LACONFLUENCIA/KikaGonzalez.png",3000
4001,"Antonio Fernández Campos","Portavoz grupo",43782,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/VOX/AntonioFernandez.jpg",4000
4002,"F. Ignacio Soto","VicePortavoz grupo",36000,"https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/img/fotos/2023-2027/VOX/IgnacioSoto.jpg",4000
6000,"Silvia Rodríguez Robles","Secretaria grupo 50%",16378,"assets/organigrama/mujer.png",1100
6001,"Cayetano Soto Cáceres","Secretario grupo 50%",16378,"assets/organigrama/hombre.png",1100
6002,"Esther María Mayolin Galán","Secretaria grupo 75%",24566,"assets/organigrama/mujer.png",2100
6003,"Alberto Pozo de los Ríos","Secretaria grupo 25%",8189,"assets/organigrama/hombre.png",2100
6004,"Violeta Márquez Ruiz","Secretaria grupo 100%",32755,"assets/organigrama/mujer.png",3100
6005,"María Jesús Herencia Montaño","Secretaria grupo 50%",16378,"assets/organigrama/mujer.png",4100
6006,"Manuel Jesus Mesa Calvo","Secretario grupo 50%",16378,"assets/organigrama/hombre.png",4100
1111,"Gobierno local","",335191,"assets/organigrama/gobierno.png",40
1110,"PP","",32755,"assets/organigrama/logoPP.jpg",40
2220,"PSOE","",32755,"assets/organigrama/logoPSOE.jpg",40
3330,"La Confluencia","",0,"assets/organigrama/logoLaConfluencia.jpg",40
4440,"Vox","",0,"assets/organigrama/logoVOX.jpg",40
6007,"José Antonio Vázquez Laboisse","Asesor comunicación 100%",51316,"assets/organigrama/hombre.png",1111
